Timestamp,"16Personalities Quiz. You will need to first take the quiz located at https://www.16personalities.com/. Select your personality letters below. E.g. ENTJ-A, INTP-A, etc.","What is your major? (Please type out your full major name based on USC Catalogue, e.g. 'Computer Science', 'Business Administration')  ",If applicable.  What is your 2nd major? (Please type out the full major name),"What is your minor? (Please type out the full minor name based on USC Catalogue, e.g. 'Applied Analytics') ","If applicable, what is your 2nd minor? (Please type our the full minor name)",Are you in the Progressive Degree Program (PDP)?,What is your graduation year?,What is your class standing?,What is your GPA?,How many units are you taking this semester? Please enter a number.,Are you a transfer student?,Are you an international student?,What is your plan for after graduation?,What industry are you going into or planning on going into after graduation?,What role are you going into or planning on going into after graduation? Please choose the one that best fits.,"On a scale of 1-5, with 5 being the highest, how would you rate your USC academic experience?","On average, how many USC football games do you attend per season?",Are you or have you ever been actively part of a social fraternity/sorority at USC?,Are you or have you ever been actively part of a professional fraternity/sorority at USC?,"Are you or have you ever been actively part of a professional organization or regularly attend/observe professional activities/events?  E.g. LACI, Trojan Marketing, LavaLabs, etc.",Are you or have you ever been actively part of a cultural student organization or regularly attend/observe cultural activities/events?  E.g. Korea Student Association.,Are you or have you ever been actively part of a religious student organization or regularly attend/observe religious activities/events?,Are you part of a sports student organization or regularly participate in organized sports? e.g. Club Soccer,"On a scale of 1-5, with 5 being the highest, how would you rate your USC social experience?","Approximately, what % of your tuition was covered by merit scholarships?",Have you ever held a paid job during any semester at USC?,"During this semester, what percentage of your available time do you spend working (paid or non-paid)?","During this semester, what percentage of your available time do you spend with your friends (online or in-person)?","During this semester, what percentage of your available time do you spend with your family (online or in-person)?",Do you prefer to study alone? (vs. studying in a group),"During this semester, what percentage of your available time do you spend on classwork outside of class?","On a scale of 1-5, with 5 being the highest, how would you rate your overall USC experience?",What is your gender?,What is your age? (Please only enter a number),"Your home country. Please enter the 2-letter country abbreviation. (United States = US, China = CN) You can find the list of abbreviations here: https://www.iban.com/country-codes  ","If your home country is US, what is the zip code of your childhood home? (If the US is not your home country, type in 'N/A') ",Do you consider California your home?,How many languages are you proficient in conversionally?,"What are your primary form(s) of learning about current events? (e.g. what is viral, news, entertainment)",Do you consider yourself someone who loves to travel?,Do you consider yourself a foodie?,Have you prioritized purchasing based on the sustainability of the brand or product?,Do you carry and use a reusable water bottle?,"What percentage of your meals during the semester are purchased from a delivery service (i.e. Uber Eats, Postmates, etc.)?","What percentage of your transportation during the semester was using a ride-sharing service (i.e. Uber, Lyft, etc.)?  Exclude USC's free Lyft program."
4/4/24 19:36,ISTP-T,Health and Human Science,,Applied Analytics,Statistics,No,2024,Senior,3.9,18,No,Yes,Graduate School,Health Care,Other,3,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,30-40%,≤ 10%,Yes,20-30%,4,Male,22,CN,N/A,No,2,Google News,No,Yes,Sometimes,Yes,25%,75%
4/4/24 20:36,ENFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.73,16,No,No,Work,Finance: Diversified Financial Services,Finance Management,4,4-Jan,No,Yes,Yes,Yes,No,No,4,0%,Yes,10-20%,30-40%,≤ 10%,Depends,10-20%,5,Female,20,US,8540,Yes,1,"Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
4/5/24 0:49,ENTJ-A,Economics,,Foundation of data science,,Maybe,2024,Senior,3.86,16,"Yes, from a 4 year college",Yes,Still Deciding,Consulting,Business/Corporate Services,5,4-Jan,No,No,No,No,No,No,3,0%,Yes,≤ 10%,10-20%,10-20%,Yes,20-30%,5,Female,21,CN,N/A,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",No,No,Sometimes,Yes,25%,75%
4/5/24 9:45,ENTJ-A,Economics,,Applied Analytics,,No,2024,Senior,3,16,"Yes, from a 2 year college",Yes,Graduate School,Finance: FinTech,Risk Management,4,0,No,No,Yes,No,No,No,2,0%,No,≤ 10%,> 50%,20-30%,Yes,20-30%,4,Female,23,CN,N/A,Yes,3,"Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
4/5/24 11:30,ENTJ-T,Business of Cinematic Arts,,Applied Analytics,,No,2024,Senior,3.8,18,No,No,Work,Media/Communications,Marketing,4,4-Jan,No,No,No,Yes,No,No,2,0%,Yes,30-40%,10-20%,10-20%,Yes,20-30%,4,Female,22,TW,N/A,No,2,"Instagram, Facebook, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,No,Yes,0%,50%
4/5/24 11:57,ENTJ-A,Economics-Mathematics,,Foundations of Data Science,,No,2024,Senior,3.54,20,"Yes, from a 4 year college",No,Still Deciding,Finance: FinTech,Other,5,8+,Yes,No,Yes,Yes,Yes,Yes,5,75%,Yes,10-20%,20-30%,≤ 10%,Yes,> 50%,5,Female,23,US,80305,No,3,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,75%
4/5/24 12:16,ISTJ-A,Public Relations,,Applied Analytics,,No,2024,Senior,3.94,16,"Yes, from a 4 year college",Yes,Graduate School,Health Care,Information and Communications Technology,5,4-Jan,No,No,No,No,No,No,2,0%,Yes,≤ 10%,10-20%,≤ 10%,Yes,> 50%,4,Female,22,CN,N/A,Yes,2,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,25%
4/5/24 13:36,ENFJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.93,17,No,No,Work,Finance: Insurance,Risk Management,4,4-Jan,No,No,Yes,Yes,No,No,5,0%,No,20-30%,30-40%,10-20%,Yes,10-20%,5,Female,21,US,48168,No,2,"Instagram, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
4/5/24 13:49,ESFJ-A,Business Administration,,Applied Analytics,Environmental Studies,No,2024,Senior,3.89,14,No,No,Work,Consulting,Business/Corporate Services,4,4-Jan,No,No,Yes,No,Yes,No,5,50%,Yes,≤ 10%,> 50%,≤ 10%,No,20-30%,5,Male,22,US,92782,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,0%,0%
4/5/24 14:22,ISTP-T,Neuroscience,,Applied Analytics,Art History,No,2024,Senior,3.93,16,No,No,Graduate School,Life Sciences,Science and Technical R&D,3,4-Jan,No,No,No,No,Yes,No,2,50%,No,≤ 10%,20-30%,10-20%,No,20-30%,3,Male,21,US,92127,Yes,1,"Instagram, X, Tiktok",Yes,No,No,Yes,0%,0%
4/5/24 14:30,ENTJ-A,Business Administration,,Applied Analytics,Real Estate Development,No,2024,Senior,3.52,16,No,Yes,Still Deciding,Finance: FinTech,Finance Management,4,4-Jan,No,No,Yes,Yes,No,Yes,5,0%,Yes,20-30%,30-40%,10-20%,Depends,10-20%,5,Male,21,ET,N/A,No,2,"Instagram, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
4/5/24 16:44,ISTP-T,Applied and Computational Mathematics,,Foundations of Data Science,,No,2025,Junior,3.4,16,No,No,Work,Other,Business/Corporate Services,2,0,No,No,No,No,No,No,1,0%,Yes,≤ 10%,≤ 10%,≤ 10%,Yes,30-40%,2,Male,20,US,91377,Yes,1,X,Yes,No,No,No,0%,0%
4/5/24 19:20,ESFJ-A,Industrial and Systems Engineering,,No minor,,No,2024,Senior,3.3,16,No,Yes,Work,Finance: Diversified Financial Services,Operations Management,5,4-Jan,No,No,Yes,Yes,No,Yes,5,0%,No,≤ 10%,30-40%,10-20%,Depends,20-30%,5,Female,22,PA,PA,No,2,"Instagram, Tiktok",Yes,Yes,Sometimes,Yes,25%,75%
4/5/24 22:02,ENTJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.8,17,No,No,Work,Technology: Software/Internet,Business/Corporate Services,5,0,No,No,Yes,Yes,No,Yes,3,50%,Yes,≤ 10%,30-40%,≤ 10%,Yes,> 50%,4,Female,21,US,95129,Yes,4,"Instagram, Youtube, Google News",Yes,Yes,Sometimes,Yes,0%,0%
4/5/24 22:42,ESFJ-A,Business Administration,N/A,Data Science,N/A,No,2024,Senior,3.86,14,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,5,8-May,Yes,No,Yes,Yes,No,No,5,0%,Yes,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Female,21,US,94568,Yes,2,"Tiktok, News Sites (e.g. Wall Street Journal), Podcasts",Yes,Yes,No,Yes,0%,25%
4/6/24 2:18,ISFJ-T,Business Administration,,Applied Analytics,,No,2025,Senior,3.88,18,"Yes, from a 4 year college",No,Work,Consulting,Risk Management,4,4-Jan,No,No,No,Yes,No,No,5,0%,No,≤ 10%,> 50%,10-20%,Depends,20-30%,5,Male,21,KR,N/A,Yes,2,"Instagram, Tiktok, Youtube",No,Yes,No,Yes,0%,25%
4/6/24 2:33,ISTJ-T,Economics and Mathematics BS,,applied analytics,,Maybe,2025,Junior,3.74,18,No,No,Still Deciding,Technology: Software/Internet,Information and Communications Technology,4,0,No,No,No,No,No,No,3,75%,No,≤ 10%,10-20%,10-20%,Yes,10-20%,4,Male,21,USA,94118,Yes,2,Instagram,No,Yes,Yes,Yes,0%,0%
4/6/24 2:54,ESTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.9,14,No,No,Work,Consulting,Business/Corporate Services,5,8-May,No,No,No,Yes,Yes,No,4,100%,Yes,10-20%,30-40%,20-30%,Yes,20-30%,4,Male,21,US,90034,Yes,3,"Instagram, X, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
4/6/24 9:44,ENTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.3,18,"Yes, from a 2 year college",No,Work,Finance: VC/Private Equities,Finance Management,4,0,Yes,Yes,Yes,No,No,No,4,0%,Yes,20-30%,10-20%,> 50%,Depends,10-20%,5,Male,22,US,91504,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,0%
4/6/24 10:32,ESTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.63,12,No,No,Work,Other,Business/Corporate Services,5,8-May,Yes,No,No,No,No,Yes,5,100%,No,10-20%,20-30%,≤ 10%,No,20-30%,5,Male,22,US,94070,Yes,2,"Instagram, TV, News Sites (e.g. Wall Street Journal)",No,Yes,Yes,Yes,0%,25%
4/6/24 11:19,ENTP-T,Business Administration,,Applied Analytics,Music Industry,No,2024,Senior,3.6,18,No,No,Work,Other,Operations Management,3,8-May,No,No,No,Yes,No,No,4,50%,Yes,20-30%,20-30%,≤ 10%,Depends,10-20%,4,Male,21,US,96825,No,1,"Instagram, Tiktok",Yes,Yes,No,Yes,0%,0%
4/6/24 12:24,ISTJ-A,Economics and Data Science,,Applied Analytics,,No,2024,Senior,4,9,"Yes, from a 4 year college",Yes,Graduate School,Technology: Software/Internet,Engineering,4,4-Jan,No,No,No,No,No,No,3,0%,Yes,30-40%,10-20%,≤ 10%,Yes,20-30%,4,Female,21,CN,N/A,No,2,"Instagram, Tiktok, Youtube",Yes,Yes,No,Yes,0%,50%
4/6/24 14:47,INTJ-T,Computational Neuroscience,,Applied Analytics,Marketing,No,2026,Sophmore,3.35,17,No,No,Work,Technology: Software/Internet,"Planning, Policy, and Strategy",4,8-May,No,No,No,Yes,Yes,No,5,0%,No,20-30%,20-30%,10-20%,No,20-30%,4,Female,19,US,94303,Yes,2,"Instagram, Tiktok, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,No,0%,50%
4/6/24 17:43,INFJ-T,Economics/Mathematics,,Applied Analytics,Popular Music Studies,Maybe,2026,Sophmore,3.9,18,No,Yes,Still Deciding,Media/Communications,Marketing,3,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,≤ 10%,20-30%,Yes,20-30%,4,Female,18,CN,N/A,No,2,"Instagram, X, Youtube",Yes,No,Sometimes,Yes,0%,25%
4/7/24 0:09,ENTJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.79,18,No,No,Work,Technology: Software/Internet,Business/Corporate Services,5,4-Jan,No,Yes,Yes,No,No,No,4,25%,Yes,≤ 10%,20-30%,≤ 10%,Depends,10-20%,5,Male,20,US,92833,Yes,2,"Instagram, Snapchat, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,Yes,Yes,25%,25%
4/7/24 1:47,ENTJ-A,Engineering Management,,Applied Analytics,,No,2024,Graduate Student,3.6,4,No,Yes,Work,Technology: Software/Internet,Other,4,4-Jan,No,No,No,Yes,No,Yes,4,0%,Yes,> 50%,30-40%,≤ 10%,Yes,> 50%,4,Male,25,IN,N/A,Yes,2,"Instagram, Snapchat, Youtube",Yes,No,Yes,Yes,25%,0%
4/7/24 7:06,INFP-T,Business Administration,,Applied Analytics,,Maybe,2024,Senior,3.79,16,No,No,Still Deciding,Finance: Diversified Financial Services,Finance Management,3,0,No,No,No,No,No,Yes,3,0%,No,≤ 10%,30-40%,≤ 10%,No,20-30%,3,Male,21,US,95129,Yes,2,"Instagram, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,50%,25%
